1,Engineering,RESEARCH AND DEVELOPMENT,2008-04-30 00:00:00,engineering
2,Tool Design,RESEARCH AND DEVELOPMENT,2008-04-30 00:00:00,tool design
3,Sales,SALES AND MARKETING,2008-04-30 00:00:00,sales
4,Marketing,SALES AND MARKETING,2008-04-30 00:00:00,marketing
5,Purchasing,INVENTORY MANAGEMENT,2008-04-30 00:00:00,purchasing
6,Research and Development,RESEARCH AND DEVELOPMENT,2008-04-30 00:00:00,research and development
7,Production,MANUFACTURING,2008-04-30 00:00:00,production
8,Production Control,MANUFACTURING,2008-04-30 00:00:00,production control
9,Human Resources,EXECUTIVE GENERAL AND ADMINISTRATION,2008-04-30 00:00:00,human resources
10,Finance,EXECUTIVE GENERAL AND ADMINISTRATION,2008-04-30 00:00:00,finance
11,Information Services,EXECUTIVE GENERAL AND ADMINISTRATION,2008-04-30 00:00:00,information services
12,Document Control,QUALITY ASSURANCE,2008-04-30 00:00:00,document control
13,Quality Assurance,QUALITY ASSURANCE,2008-04-30 00:00:00,quality assurance
14,Facilities and Maintenance,EXECUTIVE GENERAL AND ADMINISTRATION,2008-04-30 00:00:00,facilities and maintenance
15,Shipping and Receiving,INVENTORY MANAGEMENT,2008-04-30 00:00:00,shipping and receiving
16,Executive,EXECUTIVE GENERAL AND ADMINISTRATION,2008-04-30 00:00:00,executive
